model,dataset,seed,task,family,variant,status,metric,score,fit_seconds,predict_seconds,n_samples,n_features,artifact_path,error_message,notes,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type
MLP,synthetic_xor,42,classification,baseline,mlp,ok,accuracy,0.679612,0.0415,0.0044,512,20,,,,default_benchmark,,,,,,,,,,
LightGBM,synthetic_xor,42,classification,baseline,lightgbm,ok,accuracy,0.990291,0.1828,0.0033,512,20,,,,default_benchmark,,,,,,,,,,
TST-v1-Gate,synthetic_xor,42,classification,ablation,TST-v1-Gate,ok,accuracy,0.514563,5.6827,0.014,512,20,outputs/benchmark_artifacts/synthetic_xor/seed_42/tst_v1_gate,,,default_benchmark,,,,,,,,,,
TST-v2-GateFourier,synthetic_xor,42,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.514563,3.1182,0.0103,512,20,outputs/benchmark_artifacts/synthetic_xor/seed_42/tst_v2_gate_fourier,,,default_benchmark,,,,,,,,,,
TST-v4-CLS,synthetic_xor,42,classification,ablation,TST-v4-CLS,ok,accuracy,0.514563,3.0189,0.0097,512,20,outputs/benchmark_artifacts/synthetic_xor/seed_42/tst_v4_cls,,,default_benchmark,,,,,,,,,,
TST-v4-Attention,synthetic_xor,42,classification,ablation,TST-v4-Attention,ok,accuracy,0.514563,2.6481,0.0093,512,20,outputs/benchmark_artifacts/synthetic_xor/seed_42/tst_v4_attention,,,default_benchmark,,,,,,,,,,
TST-v5-CLS-Cross,synthetic_xor,42,classification,ablation,TST-v5-CLS-Cross,ok,accuracy,0.495146,23.8205,0.0654,512,20,outputs/benchmark_artifacts/synthetic_xor/seed_42/tst_v5_cls_cross,,,default_benchmark,,,,,,,,,,
MLP,synthetic_irrelevant_noise,42,classification,baseline,mlp,ok,accuracy,0.708738,0.0479,0.0019,512,100,,,,default_benchmark,,,,,,,,,,
LightGBM,synthetic_irrelevant_noise,42,classification,baseline,lightgbm,ok,accuracy,0.932039,0.0568,0.0027,512,100,,,,default_benchmark,,,,,,,,,,
TST-v1-Gate,synthetic_irrelevant_noise,42,classification,ablation,TST-v1-Gate,ok,accuracy,0.504854,14.6121,0.0538,512,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v1_gate,,,default_benchmark,,,,,,,,,,
TST-v2-GateFourier,synthetic_irrelevant_noise,42,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.504854,17.8335,0.0663,512,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v2_gate_fourier,,,default_benchmark,,,,,,,,,,
TST-v4-CLS,synthetic_irrelevant_noise,42,classification,ablation,TST-v4-CLS,ok,accuracy,0.504854,31.3935,0.0805,512,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v4_cls,,,default_benchmark,,,,,,,,,,
TST-v4-Attention,synthetic_irrelevant_noise,42,classification,ablation,TST-v4-Attention,ok,accuracy,0.504854,31.6735,0.2365,512,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v4_attention,,,default_benchmark,,,,,,,,,,
TST-v5-CLS-Cross,synthetic_irrelevant_noise,42,classification,ablation,TST-v5-CLS-Cross,ok,accuracy,0.504854,114.3194,0.2058,512,100,outputs/benchmark_artifacts/synthetic_irrelevant_noise/seed_42/tst_v5_cls_cross,,,default_benchmark,,,,,,,,,,
