model,dataset,seed,task,family,variant,status,metric,score,fit_seconds,predict_seconds,n_samples,n_features,artifact_path,error_message,notes
Linear/Ridge,synthetic_axis_aligned,42,classification,baseline,linear,ok,accuracy,0.941463,0.0096,0.0013,1024,20,,,
Random Forest,synthetic_axis_aligned,42,classification,baseline,random_forest,ok,accuracy,0.990244,0.0389,0.003,1024,20,,,
Gradient Boosting,synthetic_axis_aligned,42,classification,baseline,gradient_boosting,ok,accuracy,1.0,0.0935,0.0012,1024,20,,,
MLP,synthetic_axis_aligned,42,classification,baseline,mlp,ok,accuracy,0.931707,0.054,0.0013,1024,20,,,
LightGBM,synthetic_axis_aligned,42,classification,baseline,lightgbm,ok,accuracy,1.0,0.1988,0.0406,1024,20,,,
CatBoost,synthetic_axis_aligned,42,classification,baseline,catboost,ok,accuracy,1.0,1.5255,0.0035,1024,20,,,
TST-v0,synthetic_axis_aligned,42,classification,ablation,TST-v0,ok,accuracy,0.912195,5.65,0.0185,1024,20,,,
TST-v1-Gate,synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,ok,accuracy,0.912195,5.0311,0.0193,1024,20,,,
TST-v2-GateFourier,synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.912195,5.1587,0.0192,1024,20,,,
TST-v3-MoE,synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,ok,accuracy,0.912195,5.3911,0.024,1024,20,,,
Linear/Ridge,synthetic_xor,42,classification,baseline,linear,ok,accuracy,0.429268,0.0056,0.0023,1024,20,,,
Random Forest,synthetic_xor,42,classification,baseline,random_forest,ok,accuracy,0.595122,0.0742,0.0048,1024,20,,,
Gradient Boosting,synthetic_xor,42,classification,baseline,gradient_boosting,ok,accuracy,0.970732,0.2127,0.0015,1024,20,,,
MLP,synthetic_xor,42,classification,baseline,mlp,ok,accuracy,0.765854,0.0574,0.0016,1024,20,,,
LightGBM,synthetic_xor,42,classification,baseline,lightgbm,ok,accuracy,0.985366,0.0479,0.004,1024,20,,,
CatBoost,synthetic_xor,42,classification,baseline,catboost,ok,accuracy,0.985366,1.0701,0.0024,1024,20,,,
TST-v0,synthetic_xor,42,classification,ablation,TST-v0,ok,accuracy,0.512195,5.7266,0.0189,1024,20,,,
TST-v1-Gate,synthetic_xor,42,classification,ablation,TST-v1-Gate,ok,accuracy,0.512195,5.996,0.0219,1024,20,,,
TST-v2-GateFourier,synthetic_xor,42,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.512195,5.7403,0.0207,1024,20,,,
TST-v3-MoE,synthetic_xor,42,classification,ablation,TST-v3-MoE,ok,accuracy,0.512195,6.4315,0.0208,1024,20,,,
Linear/Ridge,synthetic_piecewise,42,regression,baseline,linear,ok,rmse,0.786671,0.0045,0.0008,1024,20,,,
Random Forest,synthetic_piecewise,42,regression,baseline,random_forest,ok,rmse,0.276584,0.1678,0.0038,1024,20,,,
Gradient Boosting,synthetic_piecewise,42,regression,baseline,gradient_boosting,ok,rmse,0.159973,0.1861,0.0018,1024,20,,,
MLP,synthetic_piecewise,42,regression,baseline,mlp,ok,rmse,0.798763,0.0519,0.0014,1024,20,,,
LightGBM,synthetic_piecewise,42,regression,baseline,lightgbm,ok,rmse,0.215951,0.0431,0.0036,1024,20,,,
CatBoost,synthetic_piecewise,42,regression,baseline,catboost,ok,rmse,0.178699,1.4706,0.0064,1024,20,,,
TST-v0,synthetic_piecewise,42,regression,ablation,TST-v0,ok,rmse,0.841531,9.719,0.0221,1024,20,,,
TST-v1-Gate,synthetic_piecewise,42,regression,ablation,TST-v1-Gate,ok,rmse,0.841759,9.6773,0.0213,1024,20,,,
TST-v2-GateFourier,synthetic_piecewise,42,regression,ablation,TST-v2-GateFourier,ok,rmse,0.841332,8.4713,0.0286,1024,20,,,
TST-v3-MoE,synthetic_piecewise,42,regression,ablation,TST-v3-MoE,ok,rmse,0.840824,11.2239,0.0274,1024,20,,,
Linear/Ridge,synthetic_irrelevant_noise,42,classification,baseline,linear,ok,accuracy,0.804878,0.012,0.0025,1024,100,,,
Random Forest,synthetic_irrelevant_noise,42,classification,baseline,random_forest,ok,accuracy,0.843902,0.1375,0.0042,1024,100,,,
