dataset,task,metric,family,model,variant,mean_score,std_score,n_seeds,wins
synthetic_axis_aligned,classification,accuracy,baseline,CatBoost,catboost,0.996748,0.005633,3,2
synthetic_axis_aligned,classification,accuracy,baseline,Gradient Boosting,gradient_boosting,0.995122,0.004878,3,1
synthetic_axis_aligned,classification,accuracy,baseline,LightGBM,lightgbm,0.995122,0.004878,3,1
synthetic_axis_aligned,classification,accuracy,baseline,Random Forest,random_forest,0.993496,0.002816,3,1
synthetic_axis_aligned,classification,accuracy,baseline,Linear/Ridge,linear,0.952845,0.015681,3,0
synthetic_axis_aligned,classification,accuracy,baseline,MLP,mlp,0.934959,0.005633,3,0
synthetic_axis_aligned,classification,accuracy,ablation,TST-v0,TST-v0,0.902439,0.009756,3,0
synthetic_axis_aligned,classification,accuracy,ablation,TST-v1-Gate,TST-v1-Gate,0.902439,0.009756,3,0
synthetic_axis_aligned,classification,accuracy,ablation,TST-v2-GateFourier,TST-v2-GateFourier,0.902439,0.009756,3,0
synthetic_axis_aligned,classification,accuracy,ablation,TST-v3-MoE,TST-v3-MoE,0.902439,0.009756,3,0
synthetic_irrelevant_noise,classification,accuracy,baseline,LightGBM,lightgbm,0.933333,0.014082,3,2
synthetic_irrelevant_noise,classification,accuracy,baseline,CatBoost,catboost,0.931707,0.008449,3,1
synthetic_irrelevant_noise,classification,accuracy,baseline,Gradient Boosting,gradient_boosting,0.926829,0.017588,3,1
synthetic_irrelevant_noise,classification,accuracy,baseline,Random Forest,random_forest,0.842276,0.002816,3,0
synthetic_irrelevant_noise,classification,accuracy,baseline,Linear/Ridge,linear,0.824390,0.033796,3,0
synthetic_irrelevant_noise,classification,accuracy,baseline,MLP,mlp,0.806504,0.047378,3,0
synthetic_irrelevant_noise,classification,accuracy,ablation,TST-v0,TST-v0,0.510569,0.007451,3,0
synthetic_irrelevant_noise,classification,accuracy,ablation,TST-v1-Gate,TST-v1-Gate,0.510569,0.007451,3,0
synthetic_irrelevant_noise,classification,accuracy,ablation,TST-v2-GateFourier,TST-v2-GateFourier,0.510569,0.007451,3,0
