dataset,task,metric,family,model,variant,mean_score,std_score,n_seeds,wins
adult,classification,accuracy,baseline,MLP,mlp,0.844660,0.000000,1,1
adult,classification,accuracy,baseline,Linear/Ridge,linear,0.805825,0.000000,1,0
adult,classification,accuracy,baseline,LightGBM,lightgbm,0.796117,0.000000,1,0
adult,classification,accuracy,ablation,TST-v0,TST-v0,0.757282,0.000000,1,0
adult,classification,accuracy,ablation,TST-v1-Gate,TST-v1-Gate,0.757282,0.000000,1,0
bank-marketing,classification,accuracy,baseline,MLP,mlp,0.932039,0.000000,1,1
bank-marketing,classification,accuracy,baseline,Linear/Ridge,linear,0.922330,0.000000,1,0
bank-marketing,classification,accuracy,baseline,LightGBM,lightgbm,0.883495,0.000000,1,0
bank-marketing,classification,accuracy,ablation,TST-v0,TST-v0,0.873786,0.000000,1,0
bank-marketing,classification,accuracy,ablation,TST-v1-Gate,TST-v1-Gate,0.873786,0.000000,1,0
california-housing,regression,rmse,baseline,LightGBM,lightgbm,61483.351142,0.000000,1,1
california-housing,regression,rmse,baseline,Linear/Ridge,linear,67873.691152,0.000000,1,0
california-housing,regression,rmse,baseline,MLP,mlp,237034.027305,0.000000,1,0
california-housing,regression,rmse,ablation,TST-v1-Gate,TST-v1-Gate,237040.490555,0.000000,1,0
california-housing,regression,rmse,ablation,TST-v0,TST-v0,237040.492902,0.000000,1,0
covertype,classification,accuracy,baseline,LightGBM,lightgbm,0.621359,0.000000,1,1
covertype,classification,accuracy,baseline,MLP,mlp,0.621359,0.000000,1,1
covertype,classification,accuracy,baseline,Linear/Ridge,linear,0.611650,0.000000,1,0
covertype,classification,accuracy,ablation,TST-v0,TST-v0,0.485437,0.000000,1,0
covertype,classification,accuracy,ablation,TST-v1-Gate,TST-v1-Gate,0.485437,0.000000,1,0
credit-g,classification,accuracy,ablation,TST-v0,TST-v0,0.708738,0.000000,1,1
credit-g,classification,accuracy,ablation,TST-v1-Gate,TST-v1-Gate,0.708738,0.000000,1,1
credit-g,classification,accuracy,baseline,LightGBM,lightgbm,0.699029,0.000000,1,0
credit-g,classification,accuracy,baseline,Linear/Ridge,linear,0.679612,0.000000,1,0
credit-g,classification,accuracy,baseline,MLP,mlp,0.640777,0.000000,1,0
heloc,classification,accuracy,baseline,LightGBM,lightgbm,0.786408,0.000000,1,1
heloc,classification,accuracy,baseline,MLP,mlp,0.747573,0.000000,1,0
heloc,classification,accuracy,baseline,Linear/Ridge,linear,0.669903,0.000000,1,0
heloc,classification,accuracy,ablation,TST-v0,TST-v0,0.514563,0.000000,1,0
heloc,classification,accuracy,ablation,TST-v1-Gate,TST-v1-Gate,0.514563,0.000000,1,0
higgs-small,classification,accuracy,baseline,LightGBM,lightgbm,0.601942,0.000000,1,1
higgs-small,classification,accuracy,baseline,Linear/Ridge,linear,0.592233,0.000000,1,0
higgs-small,classification,accuracy,baseline,MLP,mlp,0.572816,0.000000,1,0
higgs-small,classification,accuracy,ablation,TST-v0,TST-v0,0.543689,0.000000,1,0
higgs-small,classification,accuracy,ablation,TST-v1-Gate,TST-v1-Gate,0.543689,0.000000,1,0
jannis,classification,accuracy,baseline,Linear/Ridge,linear,0.660194,0.000000,1,1
jannis,classification,accuracy,baseline,LightGBM,lightgbm,0.640777,0.000000,1,0
jannis,classification,accuracy,baseline,MLP,mlp,0.631068,0.000000,1,0
jannis,classification,accuracy,ablation,TST-v0,TST-v0,0.543689,0.000000,1,0
jannis,classification,accuracy,ablation,TST-v1-Gate,TST-v1-Gate,0.456311,0.000000,1,0
