dataset,task,metric,family,model,variant,mean_score,std_score,n_seeds,wins
synthetic_irrelevant_noise,classification,accuracy,baseline,LightGBM,lightgbm,0.933333,0.014082,3,2
synthetic_irrelevant_noise,classification,accuracy,baseline,Gradient Boosting,gradient_boosting,0.926829,0.017588,3,1
synthetic_irrelevant_noise,classification,accuracy,neural_baseline,FT-Transformer-style,local_ft_transformer,0.915447,0.010154,3,1
synthetic_irrelevant_noise,classification,accuracy,ablation,TST,TST-v1-Gate-tuned,0.845528,0.036936,3,0
synthetic_irrelevant_noise,classification,accuracy,baseline,MLP,mlp,0.806504,0.047378,3,0
synthetic_irrelevant_noise,classification,accuracy,ablation,TST,TST-v0-tuned,0.786992,0.075780,3,0
synthetic_irrelevant_noise,classification,accuracy,ablation,TST,TST-v3-MoE-tuned,0.510569,0.007451,3,0
synthetic_irrelevant_noise,classification,accuracy,ablation,TST-v0,TST-v0,0.510569,0.007451,3,0
synthetic_irrelevant_noise,classification,accuracy,ablation,TST-v1-Gate,TST-v1-Gate,0.510569,0.007451,3,0
synthetic_irrelevant_noise,classification,accuracy,ablation,TST-v3-MoE,TST-v3-MoE,0.510569,0.007451,3,0
synthetic_xor,classification,accuracy,baseline,LightGBM,lightgbm,0.993496,0.007451,3,3
synthetic_xor,classification,accuracy,baseline,Gradient Boosting,gradient_boosting,0.863415,0.094085,3,0
synthetic_xor,classification,accuracy,baseline,MLP,mlp,0.773984,0.023053,3,0
synthetic_xor,classification,accuracy,ablation,TST,TST-v3-MoE-tuned,0.521951,0.008449,3,0
synthetic_xor,classification,accuracy,ablation,TST-v0,TST-v0,0.521951,0.008449,3,0
synthetic_xor,classification,accuracy,ablation,TST-v1-Gate,TST-v1-Gate,0.521951,0.008449,3,0
synthetic_xor,classification,accuracy,ablation,TST-v3-MoE,TST-v3-MoE,0.521951,0.008449,3,0
synthetic_xor,classification,accuracy,ablation,TST,TST-v0-tuned,0.510569,0.019714,3,0
synthetic_xor,classification,accuracy,ablation,TST,TST-v1-Gate-tuned,0.499187,0.015681,3,0
synthetic_xor,classification,accuracy,neural_baseline,FT-Transformer-style,local_ft_transformer,0.482927,0.076041,3,0
