model,dataset,seed,task,family,variant,status,metric,score,fit_seconds,predict_seconds,n_samples,n_features,artifact_path,error_message,notes,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type
Linear/Ridge,synthetic_axis_aligned,42,classification,baseline,linear,ok,accuracy,0.941463,0.016,0.0029,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
Random Forest,synthetic_axis_aligned,42,classification,baseline,random_forest,ok,accuracy,0.990244,0.1358,0.0091,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
Gradient Boosting,synthetic_axis_aligned,42,classification,baseline,gradient_boosting,ok,accuracy,1.0,0.3806,0.0048,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
MLP,synthetic_axis_aligned,42,classification,baseline,mlp,ok,accuracy,0.931707,0.1536,0.0057,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
LightGBM,synthetic_axis_aligned,42,classification,baseline,lightgbm,ok,accuracy,1.0,0.3493,0.01,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
CatBoost,synthetic_axis_aligned,42,classification,baseline,catboost,ok,accuracy,1.0,7.6884,0.0222,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
TST-v0,synthetic_axis_aligned,42,classification,ablation,TST-v0,ok,accuracy,0.912195,30.7658,0.056,1024,20,outputs/benchmark_artifacts/synthetic_axis_aligned/seed_42/tst_v0,,,tuned_tst_benchmark,,,,,,,,,,
TST-v1-Gate,synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,ok,accuracy,0.912195,24.3675,0.0516,1024,20,outputs/benchmark_artifacts/synthetic_axis_aligned/seed_42/tst_v1_gate,,,tuned_tst_benchmark,,,,,,,,,,
TST-v2-GateFourier,synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.912195,33.1656,0.2891,1024,20,outputs/benchmark_artifacts/synthetic_axis_aligned/seed_42/tst_v2_gate_fourier,,,tuned_tst_benchmark,,,,,,,,,,
TST-v3-MoE,synthetic_axis_aligned,42,classification,ablation,TST-v3-MoE,ok,accuracy,0.912195,14.4774,0.0441,1024,20,outputs/benchmark_artifacts/synthetic_axis_aligned/seed_42/tst_v3_moe,,,tuned_tst_benchmark,,,,,,,,,,
FT-Transformer-style,synthetic_axis_aligned,42,classification,neural_baseline,local_ft_transformer,ok,accuracy,0.956098,9.1167,0.022,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
TST,synthetic_axis_aligned,42,classification,ablation,TST-v0-tuned,ok,accuracy,0.912195,31.4603,0.0342,1024,20,outputs/benchmark_artifacts/synthetic_axis_aligned/seed_42/tst_v0_tuned,,,tuned_tst_benchmark,TST-v0,tst_v0_lr_1e-4,1e-4,val_accuracy,maximize,0.907317,1,3,"1e-4,3e-4,1e-3",lr_only
